GUAVA results table from 'Example-ADT' records table.
Created at 17:02, on Mon 4 Sep, 2017
Software version: 1.0
Isolate records read from table: 149

Locus	Category	Missing	MultipleCopies	CountNuc	CountAA	MinLength	MaxLength	AvgLength	GCContent	AllelicDiv	RatioCount	AliLenNuc	AliLenAA	VSitesNuc	VSitesAA	RatioVS
MYCO000001	Information	1	0	12	7	1524	1524	1524	0.5889	0.007874	0.5833	1524	507	0.007218	0.01183	1.639
MYCO000002	Information	0	0	7	3	1209	1209	1209	0.6003	0.00579	0.4286	1209	402	0.004963	0.004975	1.002
MYCO000003	Information	3	0	9	7	1158	1158	1158	0.5998	0.007772	0.7778	1158	385	0.006908	0.01558	2.255
MYCO000004	Hypoth	0	0	6	5	564	564	564	0.6605	0.01064	0.8333	564	187	0.008865	0.02139	2.413
MYCO000005	Information	0	0	10	6	2028	2028	2028	0.6014	0.004931	0.6	2028	675	0.005424	0.007407	1.366
MYCO000006	Information	0	0	32	20	2517	2517	2517	0.6383	0.01271	0.625	2517	838	0.01351	0.02387	1.767
MYCO000007	Cell wall	19	0	14	9	915	915	915	0.6817	0.0153	0.6429	915	304	0.01421	0.02303	1.621
MYCO000008	Cell wall	0	0	6	4	438	438	438	0.7085	0.0137	0.6667	438	145	0.01142	0.02069	1.812
MYCO000009	Information	0	0	3	2	549	549	549	0.6236	0.005464	0.6667	549	182	0.003643	0.005495	1.508
MYCO000010	Cell wall	0	0	10	9	336	426	416	0.6254	0.02404	0.9	426	141	0.2254	0.2482	1.101
MYCO000011	Cell wall	0	0	2	2	282	282	282	0.5621	0.007092	1	282	93	0.003546	0.01075	3.032
MYCO000012	Cell wall	0	0	8	7	789	789	789	0.6483	0.01014	0.875	789	262	0.008872	0.0229	2.581
MYCO000013	Int metab	0	0	8	5	699	699	699	0.6391	0.01144	0.625	699	232	0.01001	0.01724	1.722
MYCO000014	Regulatory	2	0	13	9	1881	1881	1881	0.6323	0.006911	0.6923	1881	626	0.00638	0.01278	2.003
MYCO000015	Regulatory	50	0	6	4	1296	1296	1296	0.677	0.00463	0.6667	1296	431	0.00463	0.006961	1.503
MYCO000016	Cell wall	1	0	8	5	1476	1476	1476	0.6444	0.00542	0.625	1476	491	0.004743	0.008147	1.718
MYCO000017	Cell wall	3	0	7	5	1410	1410	1410	0.6214	0.004965	0.7143	1410	469	0.004255	0.008529	2.004
MYCO000018	Regulatory	2	0	15	12	1545	1545	1545	0.675	0.009709	0.8	1545	514	0.01036	0.02529	2.441
MYCO000019	Regulatory	0	0	5	3	468	468	468	0.6295	0.01068	0.6	468	155	0.008547	0.0129	1.509
MYCO000020	Regulatory	10	0	18	12	1566	1584	1572	0.6635	0.01145	0.6667	1584	527	0.02336	0.03416	1.462
MYCO000021	Hypoth	23	0	7	5	969	969	969	0.6603	0.007224	0.7143	969	322	0.006192	0.01242	2.006
MYCO000022	Regulatory	0	0	5	5	420	420	420	0.6833	0.0119	1	420	139	0.009524	0.02878	3.022
MYCO000023	Regulatory	2	0	8	5	771	771	771	0.6727	0.01038	0.625	771	256	0.009079	0.01562	1.72
MYCO000024	Virulence	29	0	4	3	846	846	846	0.69	0.004728	0.75	846	281	0.003546	0.007117	2.007
MYCO000025	Hypoth	17	0	2	2	363	363	363	0.6515	0.00551	1	363	120	0.002755	0.008333	3.025
MYCO000026	Hypoth	1	0	12	9	1347	1434	1376	0.6521	0.008721	0.75	1434	477	0.06834	0.1216	1.779
MYCO000027	Hypoth	0	0	1	1	318	318	318	0.6289	0.003145	1	NA	NA	NA	NA	NA
MYCO000028	Hypoth	0	0	4	3	285	306	299	0.6376	0.01338	0.75	306	101	0.07843	0.07921	1.01
MYCO000029	Hypoth	9	0	14	7	1098	1098	1098	0.6606	0.01275	0.5	1098	365	0.01457	0.02192	1.504
MYCO000030	Hypoth	36	0	2	1	330	330	330	0.653	0.006061	0.5	330	109	0.00303	0	0
MYCO000032	Int metab	46	0	14	8	2316	2316	2316	0.6205	0.006045	0.5714	2316	771	0.005613	0.009079	1.617
MYCO000033	Lipids	0	0	4	1	264	264	264	0.5672	0.01515	0.25	264	87	0.01136	0	0
MYCO000034	Hypoth	0	0	4	2	396	396	396	0.6559	0.0101	0.5	396	131	0.007576	0.007634	1.008
MYCO000035	Lipids	6	0	13	10	1689	1710	1691	0.6358	0.007688	0.7692	1710	569	0.01871	0.02636	1.409
MYCO000036	Hypoth	4	0	11	7	774	774	774	0.6873	0.01421	0.6364	774	257	0.01163	0.01946	1.673
MYCO000037	Cell wall	2	0	8	6	1326	1326	1326	0.6767	0.006033	0.75	1326	441	0.005279	0.01134	2.148
MYCO000038	Hypoth	6	0	3	1	609	609	609	0.6535	0.004926	0.3333	609	202	0.003284	0	0
MYCO000039	Cell wall	3	0	3	3	348	348	348	0.7174	0.008621	1	348	115	0.005747	0.01739	3.026
MYCO000040	Cell wall	6	0	6	5	933	933	933	0.6751	0.006431	0.8333	933	310	0.005359	0.0129	2.407
MYCO000041	Information	24	0	16	9	2910	2910	2910	0.6296	0.005498	0.5625	2910	969	0.005155	0.008256	1.602
MYCO000042	Regulatory	5	0	4	3	627	627	627	0.638	0.00638	0.75	627	208	0.004785	0.009615	2.009
MYCO000043	Regulatory	1	0	4	2	735	735	735	0.6361	0.005442	0.5	735	244	0.004082	0.004098	1.004
MYCO000044	Int metab	33	0	4	2	795	795	795	0.6651	0.005031	0.5	795	264	0.003774	0.003788	1.004
MYCO000045	Lipids	49	0	3	3	897	897	897	0.6711	0.003344	1	897	298	0.00223	0.006711	3.009
MYCO000046	Int metab	0	0	8	6	1104	1104	1104	0.6402	0.007246	0.75	1104	367	0.006341	0.01362	2.148
MYCO000047	Hypoth	0	0	2	2	543	543	543	0.6648	0.003683	1	543	180	0.001842	0.005556	3.016
MYCO000048	Cell wall	0	0	10	8	870	870	870	0.6591	0.01149	0.8	870	289	0.01034	0.02422	2.342
MYCO000049	Hypoth	0	0	4	2	414	414	414	0.6649	0.009662	0.5	414	137	0.007246	0.007299	1.007
MYCO000050	Cell wall	20	0	20	16	2031	2046	2041	0.6335	0.009799	0.8	2046	681	0.0132	0.01909	1.446
MYCO000051	Cell wall	14	0	7	4	1683	1683	1683	0.6449	0.004159	0.5714	1683	560	0.003565	0.005357	1.503
MYCO000052	Hypoth	3	0	3	3	564	564	564	0.6596	0.005319	1	564	187	0.003546	0.0107	3.017
MYCO000054	Information	2	0	3	3	495	495	495	0.6653	0.006061	1	495	164	0.00404	0.0122	3.02
MYCO000055	rMLST	0	0	1	1	255	255	255	0.6471	0.003922	1	NA	NA	NA	NA	NA
MYCO000057	Hypoth	1	0	8	4	522	522	522	0.6066	0.01533	0.5	522	173	0.01533	0.01734	1.131
MYCO000058	Information	8	0	14	7	2625	2625	2625	0.6285	0.005333	0.5	2625	874	0.005333	0.006865	1.287
MYCO000059	Hypoth	3	0	5	3	693	693	693	0.6182	0.007215	0.6	693	230	0.005772	0.008696	1.507
MYCO000060	Hypoth	1	0	6	4	1059	1059	1059	0.6003	0.005666	0.6667	1059	352	0.004721	0.008523	1.805
MYCO000061	Hypoth	18	0	3	2	339	339	339	0.6205	0.00885	0.6667	339	112	0.0059	0.008929	1.513
MYCO000062	Int metab	6	0	11	9	1143	1143	1143	0.6823	0.009624	0.8182	1143	380	0.009624	0.02105	2.187
MYCO000063	Int metab	5	0	15	9	1440	1461	1442	0.6719	0.0104	0.6	1461	486	0.02327	0.04115	1.768
MYCO000064	Cell wall	101	0	18	15	2934	2940	2940	0.6363	0.006122	0.8333	2940	979	0.008503	0.01532	1.802
MYCO000065	Virulence	1	0	2	2	402	402	402	0.6256	0.004975	1	402	133	0.002488	0.007519	3.022
MYCO000066	Int metab	1	0	15	11	2238	2238	2238	0.6177	0.006702	0.7333	2238	745	0.006256	0.01342	2.145
MYCO000067	Regulatory	3	0	6	4	570	570	570	0.652	0.01053	0.6667	570	189	0.008772	0.01587	1.809
MYCO000068	Int metab	1	0	4	4	912	921	914.2	0.6571	0.004375	1	929	309	0.04844	0.06149	1.269
MYCO000069	Int metab	2	0	7	5	1386	1386	1386	0.6507	0.005051	0.7143	1386	461	0.004329	0.008677	2.004
MYCO000070	Int metab	2	0	10	9	1278	1278	1278	0.661	0.007825	0.9	1278	425	0.007825	0.01882	2.405
MYCO000071	Information	26	0	11	8	699	717	709.5	0.6489	0.0155	0.7273	726	239	0.06061	0.05858	0.9665
MYCO000072	Cell wall	19	0	5	4	1050	1050	1050	0.6175	0.004762	0.8	1050	349	0.00381	0.008596	2.256
MYCO000073	Cell wall	22	0	7	4	993	993	993	0.6257	0.007049	0.5714	993	330	0.008056	0.01212	1.504
MYCO000074	Hypoth	44	0	7	2	1236	1236	1236	0.6605	0.005663	0.2857	1236	411	0.004854	0.002433	0.5012
MYCO000075	Int metab	6	0	12	10	1173	1173	1173	0.6415	0.01023	0.8333	1173	390	0.008525	0.02051	2.406
MYCO000076	Cell wall	3	0	2	2	390	390	390	0.6244	0.005128	1	390	129	0.002564	0.007752	3.023
MYCO000077	Int metab	5	0	3	3	831	831	831	0.6619	0.00361	1	831	276	0.002407	0.007246	3.01
MYCO000078	Regulatory	5	0	5	3	606	606	606	0.6802	0.008251	0.6	606	201	0.006601	0.00995	1.507
MYCO000079	Hypoth	1	0	6	5	822	822	822	0.6811	0.007299	0.8333	822	273	0.006083	0.01465	2.408
MYCO000080	Hypoth	4	0	8	8	459	459	459	0.6865	0.01743	1	459	152	0.01525	0.04605	3.02
MYCO000081	Regulatory	1	0	6	3	345	345	345	0.6546	0.01739	0.5	345	114	0.01449	0.01754	1.21
MYCO000082	Int metab	93	0	5	5	480	480	480	0.6983	0.01042	1	480	159	0.008333	0.02516	3.019
MYCO000083	Int metab	90	0	11	7	1920	1929	1924	0.7121	0.005717	0.6364	1929	642	0.01037	0.01246	1.202
MYCO000084	Int metab	2	0	4	3	948	951	950	0.6835	0.004211	0.75	959	316	0.03024	0.03481	1.151
MYCO000085	Int metab	3	0	4	2	663	663	663	0.6885	0.006033	0.5	663	220	0.006033	0.004545	0.7534
MYCO000086	Int metab	3	0	9	5	1467	1467	1467	0.6889	0.006135	0.5556	1467	488	0.005453	0.008197	1.503
MYCO000087	Int metab	8	0	4	3	1479	1479	1479	0.6675	0.002705	0.75	1479	492	0.002028	0.004065	2.004
MYCO000088	Lipids	0	0	4	3	675	675	675	0.6181	0.005926	0.75	675	224	0.004444	0.008929	2.009
MYCO000089	Int metab	0	0	5	2	594	594	594	0.6694	0.008418	0.4	594	197	0.006734	0.005076	0.7538
MYCO000090	Cell wall	0	0	5	4	762	771	768.8	0.656	0.006504	0.8	771	256	0.01556	0.01953	1.255
MYCO000091	Int metab	1	0	3	3	768	768	768	0.6506	0.003906	1	768	255	0.002604	0.007843	3.012
MYCO000092	Cell wall	6	0	14	13	2286	2286	2286	0.6754	0.006124	0.9286	2286	761	0.005687	0.01577	2.773
MYCO000093	Cell wall	1	0	8	7	846	852	849	0.6761	0.009423	0.875	852	283	0.02113	0.03534	1.673
MYCO000096	PE/PPE	6	0	10	9	1392	1392	1392	0.6506	0.007184	0.9	1392	463	0.007902	0.01728	2.187
MYCO000097	Int metab	0	0	2	2	870	870	870	0.5891	0.002299	1	870	289	0.001149	0.00346	3.011
MYCO000098	Lipids	0	0	5	2	552	552	552	0.5899	0.009058	0.4	552	183	0.007246	0.005464	0.7541
MYCO000099	Lipids	82	0	3	2	1623	1623	1623	0.6262	0.001848	0.6667	1623	540	0.001232	0.001852	1.503
MYCO000100	Hypoth	0	0	2	1	237	237	237	0.6013	0.008439	0.5	237	78	0.004219	0	0
