id	MYCO000001	MYCO000002	MYCO000003	MYCO000004	MYCO000005	MYCO000006	MYCO000007	MYCO000008	MYCO000009	MYCO000010	MYCO000011	MYCO000012	MYCO000013	MYCO000014	MYCO000015	MYCO000016	MYCO000017	MYCO000018	MYCO000019	MYCO000020	MYCO000021	MYCO000022	MYCO000023	MYCO000024	MYCO000025	MYCO000026	MYCO000027	MYCO000028	MYCO000029	MYCO000030	MYCO000032	MYCO000033	MYCO000034	MYCO000035	MYCO000036	MYCO000037	MYCO000038	MYCO000039	MYCO000040	MYCO000041	MYCO000042	MYCO000043	MYCO000044	MYCO000045	MYCO000046	MYCO000047	MYCO000048	MYCO000049	MYCO000050	MYCO000051	MYCO000052	MYCO000054	MYCO000055	MYCO000057	MYCO000058	MYCO000059	MYCO000060	MYCO000061	MYCO000062	MYCO000063	MYCO000064	MYCO000065	MYCO000066	MYCO000067	MYCO000068	MYCO000069	MYCO000070	MYCO000071	MYCO000072	MYCO000073	MYCO000074	MYCO000075	MYCO000076	MYCO000077	MYCO000078	MYCO000079	MYCO000080	MYCO000081	MYCO000082	MYCO000083	MYCO000084	MYCO000085	MYCO000086	MYCO000087	MYCO000088	MYCO000089	MYCO000090	MYCO000091	MYCO000092	MYCO000093	MYCO000096	MYCO000097	MYCO000098	MYCO000099	MYCO000100
10	1	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1		2	1	1		1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	1	1	1	2	1		1	1	1	2	1	1	18	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1		2	1	1	1	1	1	1	1	1	1	1
11	1	1	2	1	2	2	1	2	1	1	1	3	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1		1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	3	2	1	1	1	1		1	2	1	2	1	1	19	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
12	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14	1	1	2	1	1	3	1	2	1	1	1	3	1	2	2	1	1	2	1	3	1	1	1	1	1	3	1	1	1			1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	4	1	1	1	1	1	3	2	1	1	1	1	3	1	2	1	2	1	1	19	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19	2	2	3	2	3	4	2	2	1	89	1	4	3	1	3	1	1	3	2	4	2	1	1		2	95	1	1	2	1	2	2	2	1	2	1	2	2	2	2	1	1	1	1	2	1	3	1	5	1	1	1	1	1	4	1	1	1	3	1	4	1	3	1	2	1	2	23	1		1	1	1	1	2	1	2	1	1	61	1	1	2	2	1	1	1	1	3	2	2	1	1	1	1
20	3	2	3	1	3	5	1	2	1	89	1	4	3	1	1	1	1	3	2	5	2	1	2		2	95	1	1	2	1	3	2	2	1		1	1	2	2	2	1	1	1	1	3	1	3	1	6	1	1	1	1	1	4	1	1	1	4	1	5	1	3	1	2	1	2	24	1	1	1	2	1	1	3	1	3	1	1	62	1	1	2	2	1	1	1	1	3	2	2	1	1	1	1
21	3	2	3	1	3	5	1	2	1	89	1	4	3	1	1	1	1	3	2	5	2	1	2		2	95	1	1	2	1	3	2	2	1		1	1	2	2	2	1	1	1	1	3	1	3	1	6	1	1	1	1	1	4	1	1	1	4	1	5	1	3	1	2	1	2	24	1	1	1	2	1	1	3	1	2	1	1	62	1	1	2	2	1	1	1	1	3	2	2	1	1	1	1
25	1	1	2	1	1	2	1	2	1	1	1	5	3	8	1	1	1	2	1	2	1	1	1		1	1	1	1	1	1	4	1	2	3	5	1	1	2	2	11	1	1	1		2	1	4	1	7	1	1	1	1	1			1		1	140	6	2	1	1	2	1	1					1	1	1	1	1	1	1	1	7	1	1	4	1	4	1	2	1	1	1	3	1	1	1	1
26	1	1	2	1	1	2	1	2	1	1	1	5	3				1	2	1	2	1	1	1		1	1	1	2	3	1	4	1	2	3		1	1	2	2	1	3	1	1		2	1	4	1	7	2	1	1	1	1		1	1	1		1	6	1	1	1	53								1	1	1	3	1	1	3	4	27	1		1	1	1	2	1	1	3	3	1	1	1	1
